system:index,Supf_km2,burned_pixels,fna,nam,year,.geo
0_00000000000000000000,206,0.0,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,94365,35.0,Provincia del Neuquén,Neuquén,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,75564,9502.368627450984,Provincia de San Luis,San Luis,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,133296,1033.556862745098,Provincia de Santa Fe,Santa Fe,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,91414,0.0,Provincia de La Rioja,La Rioja,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005,101486,62.0,Provincia de Catamarca,Catamarca,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000006,22599,88.0,Provincia de Tucumán,Tucumán,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000007,99778,793.0,Provincia del Chaco,Chaco,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008,75476,532.4196078431373,Provincia de Formosa,Formosa,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000009,244386,58.0,Provincia de Santa Cruz,Santa Cruz,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000a,224378,0.0,Provincia del Chubut,Chubut,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000b,149089,22011.811764705886,Provincia de Mendoza,Mendoza,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000c,78389,39.0,Provincia de Entre Ríos,Entre Ríos,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000d,88371,0.0,Provincia de San Juan,San Juan,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000e,53240,73.0,Provincia de Jujuy,Jujuy,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000f,136990,1718.9960784313726,Provincia de Santiago del Estero,Santiago del Estero,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000010,202225,1354.4745098039216,Provincia de Río Negro,Río Negro,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000011,89125,244.26666666666665,Provincia de Corrientes,Corrientes,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000012,29907,0.0,Provincia de Misiones,Misiones,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000013,155369,2197.0039215686274,Provincia de Salta,Salta,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000014,164670,185.95686274509802,Provincia de Córdoba,Córdoba,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000015,306127,2320.0,Provincia de Buenos Aires,Buenos Aires,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000016,143211,54005.85490196078,Provincia de La Pampa,La Pampa,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000017,32820,0.0,"Provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur","Tierra del Fuego, Antártida e Islas del Atlántico Sur",2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000000,206,0.0,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000001,94365,1647.1098039215688,Provincia del Neuquén,Neuquén,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000002,75564,24108.254901960776,Provincia de San Luis,San Luis,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003,133296,7631.721568627449,Provincia de Santa Fe,Santa Fe,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000004,91414,4355.63137254902,Provincia de La Rioja,La Rioja,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000005,101486,1258.2745098039215,Provincia de Catamarca,Catamarca,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000006,22599,2812.533333333333,Provincia de Tucumán,Tucumán,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000007,99778,28242.10588235293,Provincia del Chaco,Chaco,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
